"id_libro","titulo","nivel_asignado","nivel_predicho","delta","modelo","desajustado_modelo","n_metricas_extremas","metricas"
"L0682","El bigote del tigre",8,6,-2,"polr",TRUE,1,"entropia_shannon (z=-2.6)"
"L0034","La liebre y la tortuga",1,3,2,"polr",TRUE,0,NA
"L0039","La tortilla corredora",1,3,2,"polr",TRUE,0,NA
"L0059","Agamenón",9,7,-2,"polr",TRUE,0,NA
"L0064","Crepúsculo",9,7,-2,"polr",TRUE,0,NA
"L0065","Crónica de una muerte anunciada",9,7,-2,"polr",TRUE,0,NA
"L0067","Cuentos de Pedro Urdemales",9,7,-2,"polr",TRUE,0,NA
"L0068","Cumbres borrascosas",9,7,-2,"polr",TRUE,0,NA
"L0074","El baile",9,7,-2,"polr",TRUE,0,NA
"L0080","El gaucho Martín Fierro",9,7,-2,"polr",TRUE,0,NA
"L0081","El guardián entre el centeno",9,7,-2,"polr",TRUE,0,NA
"L0085","El retrato de Dorian Gray",9,7,-2,"polr",TRUE,0,NA
"L0087","Extractos de los diarios de Adán y de Eva",9,7,-2,"polr",TRUE,0,NA
"L0089","Frankestein o el moderno Prometeo",9,7,-2,"polr",TRUE,0,NA
"L0093","Inquietudes sentimentales",9,7,-2,"polr",TRUE,0,NA
"L0096","La balada del café triste",9,7,-2,"polr",TRUE,0,NA
"L0098","La dama de las camelias",9,7,-2,"polr",TRUE,0,NA
"L0099","La miseria del hombre",9,7,-2,"polr",TRUE,0,NA
"L0101","La Odisea",9,7,-2,"polr",TRUE,0,NA
"L0104","La vida simplemente",9,7,-2,"polr",TRUE,0,NA
"L0105","Los jefes",9,7,-2,"polr",TRUE,0,NA
"L0106","Los Miserables",9,7,-2,"polr",TRUE,0,NA
"L0108","Más allá del horizonte",9,7,-2,"polr",TRUE,0,NA
"L0111","Orgullo y Prejuicio",9,7,-2,"polr",TRUE,0,NA
"L0112","Pinocho",9,7,-2,"polr",TRUE,0,NA
"L0115","Prometeo",9,7,-2,"polr",TRUE,0,NA
"L0116","Prometeo encadenado",9,7,-2,"polr",TRUE,0,NA
"L0118","Rebelión de la granja",9,7,-2,"polr",TRUE,0,NA
"L0187","Bartelby, el escribiente",10,12,2,"polr",TRUE,0,NA
"L0188","Cinema Utoppia",10,12,2,"polr",TRUE,0,NA
"L0192","De qué hablo cuando hablo de correr",10,12,2,"polr",TRUE,0,NA
"L0195","El conde de Montecristo",10,12,2,"polr",TRUE,0,NA
"L0206","Grandes esperanzas",10,12,2,"polr",TRUE,0,NA
"L0210","Laberinto de la soledad",10,12,2,"polr",TRUE,0,NA
"L0213","Matar a un ruiseñor",10,12,2,"polr",TRUE,0,NA
"L0217","Muda, triste y pensativa",10,12,2,"polr",TRUE,0,NA
"L0223","Si esto es un hombre",10,12,2,"polr",TRUE,0,NA
"L0224","Sonetos",10,12,2,"polr",TRUE,0,NA
"L0228","Hijo de ladrón",10,12,2,"polr",TRUE,0,NA
"L0254","El pato y la serpiente",3,1,-2,"polr",TRUE,0,NA
"L0258","El tesoro que la tierra oculta",3,1,-2,"polr",TRUE,0,NA
"L0266","La lechera",3,1,-2,"polr",TRUE,0,NA
"L0267","La zorra y la liebre",3,1,-2,"polr",TRUE,0,NA
"L0391","La pluma del halcón altanero",4,6,2,"polr",TRUE,0,NA
"L0394","La zarevna muerta y los siete guerreros",4,6,2,"polr",TRUE,0,NA
"L0469","Alí Baba y los cuarenta ladrones (Las mil y una noches)",5,7,2,"polr",TRUE,0,NA
"L0470","Amor a la vida",5,7,2,"polr",TRUE,0,NA
"L0473","Después de veinte años",5,3,-2,"polr",TRUE,0,NA
"L0480","El pequeño elefante",5,7,2,"polr",TRUE,0,NA
"L0481","El pequeño escribiente florentino",5,7,2,"polr",TRUE,0,NA
"L0482","El pequeño Nicolás",5,7,2,"polr",TRUE,0,NA
"L0486","Harry Potter y la piedra filosofal",5,7,2,"polr",TRUE,0,NA
"L0487","Heidi",5,7,2,"polr",TRUE,0,NA
"L0488","Juan sin miedo",5,7,2,"polr",TRUE,0,NA
"L0489","La niña de los gansos",5,7,2,"polr",TRUE,0,NA
"L0492","Las telarañas de Carlota",5,7,2,"polr",TRUE,0,NA
"L0493","Los cretinos",5,7,2,"polr",TRUE,0,NA
"L0494","Los dos amantes (leyenda mexicana precolombina)",5,7,2,"polr",TRUE,0,NA
"L0495","Los secuestradores de burros",5,7,2,"polr",TRUE,0,NA
"L0500","Un pacto con el diablo",5,7,2,"polr",TRUE,0,NA
"L0659","Sub-Terra",10,12,2,"polr",TRUE,0,NA
"L0671","Sub-Sole",10,12,2,"polr",TRUE,0,NA
"L0691","Entremés del mancebo que casó con mujer brava",8,6,-2,"polr",TRUE,0,NA
"L0692","Éramos los elegidos del sol",8,7,-1,"polr",FALSE,8,"ari (z=13.4); rix (z=10.6); szigriszt_pazos (z=-10.4); mtld (z=-2.7); entropia_shannon (z=-4.8); long_oracion_media (z=12.4); subordinadas_por_oracion (z=7.1); polaridad_media (z=4)"
"L0304","Eloy",11,12,1,"polr",FALSE,6,"ari (z=4.2); rix (z=4.1); szigriszt_pazos (z=-2.8); long_oracion_media (z=5.2); dist_dependencia_media (z=4.5); subordinadas_por_oracion (z=5.4)"
"L0353","El problema de los géneros discursivos",11,12,1,"polr",FALSE,4,"rix (z=3.6); szigriszt_pazos (z=-2.8); mattr_100 (z=-3.6); polaridad_media (z=2.6)"
"L0537","La historia de Abdula, el mendigo ciego (en Las mil y una noches)",6,7,1,"polr",FALSE,4,"ari (z=2.9); rix (z=4.4); szigriszt_pazos (z=-2.7); subordinadas_por_oracion (z=2.5)"
"L0674","Como en Santiago",8,7,-1,"polr",FALSE,4,"szigriszt_pazos (z=3.6); mattr_100 (z=6); mtld (z=8.2); yule_k (z=-3.8)"
"L0306","Ética para Amador",11,12,1,"polr",FALSE,3,"szigriszt_pazos (z=-3.2); entropia_shannon (z=-5.9); prop_alegria (z=-4.5)"
"L0694","La araña",8,7,-1,"polr",FALSE,3,"szigriszt_pazos (z=-2.6); yule_k (z=3.6); polaridad_media (z=-4.9)"
"L0123","Abuela de arriba, abuela de abajo",2,1,-1,"polr",FALSE,2,"mattr_100 (z=-3.2); yule_k (z=4.7)"
"L0125","Camilón comilón",2,1,-1,"polr",FALSE,2,"polaridad_media (z=2.7); prop_alegria (z=2.5)"
"L0147","Fábula de la ratoncita presumida",2,3,1,"polr",FALSE,2,"mattr_100 (z=-4.7); prop_tristeza (z=4.3)"
"L0148","Flon Flon y Musina",2,1,-1,"polr",FALSE,2,"polaridad_media (z=-3.1); prop_tristeza (z=2.5)"
"L0290","Canto del macho anciano y otros poemas",11,12,1,"polr",FALSE,2,"rix (z=3); dist_dependencia_media (z=3.9)"
"L0357","Pensamiento y lenguaje. Teoría del desarrollo cultural de las funciones psíquicas",11,12,1,"polr",FALSE,2,"rix (z=2.8); prop_tristeza (z=-3.1)"
"L0404","Antiguo Testamento",6,7,1,"polr",FALSE,2,"mattr_100 (z=-5.8); mtld (z=-4.7)"
"L0531","Iván el imbécil",6,7,1,"polr",FALSE,2,"mattr_100 (z=-3.2); mtld (z=-2.7)"
"L0132","El árbol generoso",2,1,-1,"polr",FALSE,1,"yule_k (z=2.8)"
"L0145","El sastrecillo valiente",2,3,1,"polr",FALSE,1,"polaridad_media (z=-2.6)"
"L0160","La serpiente emplumada de Asososca (leyenda nicaragüense)",2,1,-1,"polr",FALSE,1,"prop_tristeza (z=-3.1)"
"L0287","El gato con botas",5,6,1,"polr",FALSE,1,"subordinadas_por_oracion (z=2.7)"
"L0295","Don Quijote de la Mancha",11,12,1,"polr",FALSE,1,"subordinadas_por_oracion (z=3.9)"
"L0299","El ingenioso hidalgo don Quijote de La Mancha: primera parte",11,12,1,"polr",FALSE,1,"subordinadas_por_oracion (z=3.3)"
"L0349","¿Es lógico? Análisis y evaluación de argumentos",11,12,1,"polr",FALSE,1,"mattr_100 (z=-3.5)"
"L0366","Canción del pirata",4,3,-1,"polr",FALSE,1,"dist_dependencia_media (z=3.5)"
"L0483","El traje nuevo del emperador",5,6,1,"polr",FALSE,1,"polaridad_media (z=2.5)"
"L0532","Konrad",6,7,1,"polr",FALSE,1,"mattr_100 (z=-2.6)"
"L0536","La Cenicienta",6,7,1,"polr",FALSE,1,"rix (z=2.8)"
"L0547","Los perros rojos",6,7,1,"polr",FALSE,1,"polaridad_media (z=-2.7)"
"L0551","Mujercitas",6,7,1,"polr",FALSE,1,"mtld (z=3.2)"
"L0555","Platero y yo",6,7,1,"polr",FALSE,1,"dist_dependencia_media (z=2.9)"
"L0556","Rikki-tikki-tavi",6,7,1,"polr",FALSE,1,"polaridad_media (z=-2.9)"
"L0566","La pata de palo",6,7,1,"polr",FALSE,1,"subordinadas_por_oracion (z=2.5)"
"L0710","Setenta balcones y ninguna flor",8,7,-1,"polr",FALSE,1,"prop_tristeza (z=8.3)"
"L0012","El lobo y los siete cabritos",1,2,1,"polr",FALSE,0,NA
"L0057","Una sopa de piedra",1,2,1,"polr",FALSE,0,NA
"L0130","Días con Sapo y Sepo",2,1,-1,"polr",FALSE,0,NA
"L0140","El oso que no lo era",2,1,-1,"polr",FALSE,0,NA
"L0167","Quiero ser famosa",2,3,1,"polr",FALSE,0,NA
"L0168","Rapunzel",2,3,1,"polr",FALSE,0,NA
"L0173","Tanabata (leyenda japonesa)",2,1,-1,"polr",FALSE,0,NA
"L0229","Hijo de ladrón",11,12,1,"polr",FALSE,0,NA
"L0288","Bartleby, el escribano",11,12,1,"polr",FALSE,0,NA
"L0292","Cómo me hice monja",11,12,1,"polr",FALSE,0,NA
"L0293","Cuentos de buenas noches para niñas rebeldes",11,12,1,"polr",FALSE,0,NA
"L0296","Drácula",11,12,1,"polr",FALSE,0,NA
"L0300","El ingenioso hidalgo don Quijote de La Mancha: segunda parte",11,12,1,"polr",FALSE,0,NA
"L0301","El lugar sin límites",11,12,1,"polr",FALSE,0,NA
"L0303","El túnel",11,12,1,"polr",FALSE,0,NA
"L0307","Facundo",11,12,1,"polr",FALSE,0,NA
"L0309","Inés del alma mía",11,12,1,"polr",FALSE,0,NA
"L0310","La cucaracha soñadora",11,12,1,"polr",FALSE,0,NA
"L0311","La hora de la estrella",11,12,1,"polr",FALSE,0,NA
"L0313","La metamorfosis",11,12,1,"polr",FALSE,0,NA
"L0316","La tía Julia y el escribidor",11,12,1,"polr",FALSE,0,NA
"L0323","Los pasos perdidos",11,12,1,"polr",FALSE,0,NA
"L0324","Los siete locos",11,12,1,"polr",FALSE,0,NA
"L0325","Los vagabundos del Dharma",11,12,1,"polr",FALSE,0,NA
"L0326","Naciste pintada",11,12,1,"polr",FALSE,0,NA
"L0327","Poesía completa",11,12,1,"polr",FALSE,0,NA
"L0332","Reducciones",11,12,1,"polr",FALSE,0,NA
"L0333","Residencia en la Tierra",11,12,1,"polr",FALSE,0,NA
"L0334","Rosaura a las diez",11,12,1,"polr",FALSE,0,NA
"L0338","Todos los fuegos el fuego",11,12,1,"polr",FALSE,0,NA
"L0339","Tokio blues",11,12,1,"polr",FALSE,0,NA
"L0341","La Metamorfosis",11,12,1,"polr",FALSE,0,NA
"L0345","Pantaleón y las visitadoras",11,12,1,"polr",FALSE,0,NA
"L0347","Un mundo feliz",11,12,1,"polr",FALSE,0,NA
"L0348","Un mundo feliz",12,11,-1,"polr",FALSE,0,NA
"L0360","Aladino y la lámpara maravillosa",4,3,-1,"polr",FALSE,0,NA
"L0361","Androcles y el león (leyenda romana)",4,3,-1,"polr",FALSE,0,NA
"L0392","La serpiente blanca",4,3,-1,"polr",FALSE,0,NA
"L0420","Duna",12,11,-1,"polr",FALSE,0,NA
"L0499","Ulises y el cíclope",5,6,1,"polr",FALSE,0,NA
"L0506","Colmillo Blanco",6,7,1,"polr",FALSE,0,NA
"L0509","Cuentos clásicos de Andersen",6,7,1,"polr",FALSE,0,NA
"L0511","El Ankus del rey",6,7,1,"polr",FALSE,0,NA
"L0512","El cuarto de guardar",6,7,1,"polr",FALSE,0,NA
"L0514","El jardín secreto",6,7,1,"polr",FALSE,0,NA
"L0516","El libro de la selva",6,7,1,"polr",FALSE,0,NA
"L0517","El libro de los chicos enamorados",6,7,1,"polr",FALSE,0,NA
"L0518","El mapa imposible",6,7,1,"polr",FALSE,0,NA
"L0522","El príncipe feliz",6,7,1,"polr",FALSE,0,NA
"L0524","El rescate del jefe Rojo",6,7,1,"polr",FALSE,0,NA
"L0529","En la ciudad de los Césares",6,7,1,"polr",FALSE,0,NA
"L0538","La historia interminable",6,7,1,"polr",FALSE,0,NA
"L0540","La reina de las nieves",6,7,1,"polr",FALSE,0,NA
"L0541","La Sirenita",6,7,1,"polr",FALSE,0,NA
"L0545","Las crónicas de Narnia: El león, la bruja y el ropero",6,7,1,"polr",FALSE,0,NA
"L0546","Los escarabajos vuelan al atardecer",6,7,1,"polr",FALSE,0,NA
"L0548","Malditas matemáticas",6,7,1,"polr",FALSE,0,NA
"L0549","Matilda",6,7,1,"polr",FALSE,0,NA
"L0550","Momo",6,7,1,"polr",FALSE,0,NA
"L0554","Papaíto piernas largas",6,7,1,"polr",FALSE,0,NA
"L0557","Robin Hood",6,7,1,"polr",FALSE,0,NA
"L0558","Socorro (varios cuentos)",6,7,1,"polr",FALSE,0,NA
"L0560","Travesía infernal",6,7,1,"polr",FALSE,0,NA
"L0561","Vassilissa la sabia (cuento popular ruso)",6,7,1,"polr",FALSE,0,NA
"L0567","La pata de palo",8,7,-1,"polr",FALSE,0,NA
"L0661","La Odisea",11,12,1,"polr",FALSE,0,NA
"L0672","Alicia en el País de las Maravillas",8,7,-1,"polr",FALSE,0,NA
"L0673","Beowulf",8,7,-1,"polr",FALSE,0,NA
"L0676","Cuentos judíos de la aldea de Chelm",8,7,-1,"polr",FALSE,0,NA
"L0677","Cuentos judíos de la aldea de Chelm",8,7,-1,"polr",FALSE,0,NA
"L0678","Cyrano de Bergerac",8,7,-1,"polr",FALSE,0,NA
"L0680","Dos pesos de agua",8,7,-1,"polr",FALSE,0,NA
"L0681","El avaro",8,7,-1,"polr",FALSE,0,NA
"L0684","El cantar de Rolando",8,7,-1,"polr",FALSE,0,NA
"L0689","El perro y el caballo",8,7,-1,"polr",FALSE,0,NA
"L0693","Homero. Ilíada",8,7,-1,"polr",FALSE,0,NA
"L0695","La Canción de los Nibelungos",8,7,-1,"polr",FALSE,0,NA
"L0697","La desaparición de Honorato Subrac",8,7,-1,"polr",FALSE,0,NA
"L0699","La fierecilla domada",8,7,-1,"polr",FALSE,0,NA
"L0700","La melancólica muerte del chico Ostra",8,7,-1,"polr",FALSE,0,NA
"L0703","Los trabajos y los días",8,7,-1,"polr",FALSE,0,NA
"L0704","Muchos gatos para un solo crimen",8,7,-1,"polr",FALSE,0,NA
"L0706","Poema de Mío Cid",8,7,-1,"polr",FALSE,0,NA
"L0707","Poema del Mío Cid",8,7,-1,"polr",FALSE,0,NA
"L0712","Tristán e Isolda",8,7,-1,"polr",FALSE,0,NA
"L0715","La Eneida",11,12,1,"polr",FALSE,0,NA
"L0716","La hija del capitán",8,7,-1,"polr",FALSE,0,NA
"L0720","Los juegos del hambre",8,7,-1,"polr",FALSE,0,NA
"L0122","¡No funciona la tele!",2,NA,NA,NA,NA,7,"ari (z=60.4); szigriszt_pazos (z=-111.3); mtld (z=-4.2); yule_k (z=456.2); entropia_shannon (z=-12.9); prop_alegria (z=-3.2); prop_tristeza (z=-4.2)"
"L0023","Fernando furioso",1,1,0,"polr",FALSE,6,"mattr_100 (z=-13.8); mtld (z=-5.1); yule_k (z=25.7); entropia_shannon (z=-2.9); long_oracion_media (z=5.8); dist_dependencia_media (z=3.1)"
"L0354","El problema de los géneros discursivos",12,12,0,"polr",FALSE,6,"ari (z=2.9); rix (z=4.1); szigriszt_pazos (z=-4.7); mattr_100 (z=-3.2); yule_k (z=2.9); polaridad_media (z=4.4)"
"L0412","Caín",12,12,0,"polr",FALSE,6,"ari (z=4.3); rix (z=3.8); szigriszt_pazos (z=-4); long_oracion_media (z=5); dist_dependencia_media (z=2.9); subordinadas_por_oracion (z=6.7)"
"L0433","El rastro",12,12,0,"polr",FALSE,6,"ari (z=4.3); rix (z=4.9); szigriszt_pazos (z=-4.5); long_oracion_media (z=4.5); dist_dependencia_media (z=3.2); subordinadas_por_oracion (z=3.8)"
"L0435","Ensayo sobre la ceguera",12,12,0,"polr",FALSE,6,"ari (z=4.6); rix (z=4); szigriszt_pazos (z=-4.4); long_oracion_media (z=5.2); dist_dependencia_media (z=3.4); subordinadas_por_oracion (z=6.9)"
"L0441","Kaddish para el hijo no nacido",12,12,0,"polr",FALSE,6,"ari (z=4.7); rix (z=4.8); szigriszt_pazos (z=-5); long_oracion_media (z=5); dist_dependencia_media (z=3.3); subordinadas_por_oracion (z=5.4)"
"L0358","Pensamiento y lenguaje. Teoría del desarrollo cultural de las funciones psíquicas",12,12,0,"polr",FALSE,5,"rix (z=3.2); szigriszt_pazos (z=-3.6); yule_k (z=2.6); polaridad_media (z=3.5); prop_tristeza (z=-4.4)"
"L0581","El anillo",7,7,0,"polr",FALSE,5,"ari (z=2.8); rix (z=3.1); szigriszt_pazos (z=-2.9); entropia_shannon (z=-2.6); subordinadas_por_oracion (z=3.1)"
"L0577","Cuando me puse a pensar",7,NA,NA,NA,NA,5,"entropia_shannon (z=-8.2); subordinadas_por_oracion (z=4.7); polaridad_media (z=2.9); prop_alegria (z=6.8); prop_tristeza (z=-6.7)"
"L0027","Historias de ratones",1,1,0,"polr",FALSE,4,"mattr_100 (z=-4.8); mtld (z=-3.8); yule_k (z=7.2); prop_tristeza (z=4.2)"
"L0504","Aracné",6,6,0,"polr",FALSE,4,"ari (z=2.8); rix (z=3); szigriszt_pazos (z=-3.1); prop_tristeza (z=-2.8)"
"L0580","Dos plagas, más el volcán Calbuco y el cambio tan bajo",7,7,0,"polr",FALSE,4,"entropia_shannon (z=-5); polaridad_media (z=-2.9); prop_alegria (z=-3.1); prop_tristeza (z=3.3)"
"L0045","Los secretos del abuelo sapo",1,1,0,"polr",FALSE,3,"mattr_100 (z=3.8); mtld (z=5.9); yule_k (z=-4.5)"
"L0462","Poemas de amor",12,12,0,"polr",FALSE,3,"mtld (z=-2.6); subordinadas_por_oracion (z=2.6); prop_tristeza (z=4.3)"
"L0640","Piel de asno",7,7,0,"polr",FALSE,3,"subordinadas_por_oracion (z=2.5); polaridad_media (z=2.9); prop_alegria (z=2.9)"
"L0047","Los tres chanchitos",1,1,0,"polr",FALSE,2,"mtld (z=-3.1); yule_k (z=4.1)"
"L0056","Un paseo al campo",1,1,0,"polr",FALSE,2,"mtld (z=-3.1); yule_k (z=9.4)"
"L0350","¿Es lógico? Análisis y evaluación de argumentos",12,12,0,"polr",FALSE,2,"mattr_100 (z=-3.2); prop_tristeza (z=-2.6)"
"L0405","Antiguo Testamento",7,7,0,"polr",FALSE,2,"mattr_100 (z=-5.5); mtld (z=-3.7)"
"L0413","Cipango",12,12,0,"polr",FALSE,2,"long_oracion_media (z=2.6); polaridad_media (z=-2.7)"
"L0440","Hans Pozo",12,12,0,"polr",FALSE,2,"dist_dependencia_media (z=3.1); polaridad_media (z=-3.1)"
"L0451","Las flores del mal",12,12,0,"polr",FALSE,2,"yule_k (z=-3.4); entropia_shannon (z=3.2)"
"L0575","Conejos blancos",7,7,0,"polr",FALSE,2,"entropia_shannon (z=-5.1); prop_tristeza (z=8.2)"
"L0607","Génesis",7,7,0,"polr",FALSE,2,"mattr_100 (z=-5.3); mtld (z=-3.3)"
"L0623","La mano",7,7,0,"polr",FALSE,2,"polaridad_media (z=-3.5); prop_alegria (z=-3)"
"L0639","Nuevo testamento",7,7,0,"polr",FALSE,2,"mattr_100 (z=-4); mtld (z=-3.4)"
"L0655","Vencidos",7,7,0,"polr",FALSE,2,"mattr_100 (z=-4.6); mtld (z=-3.8)"
"L0719","Los heraldos negros",12,12,0,"polr",FALSE,2,"polaridad_media (z=-3); prop_tristeza (z=6)"
"L0009","El león que no sabía escribir",1,1,0,"polr",FALSE,1,"polaridad_media (z=2.7)"
"L0032","La gallina roja y el grano de trigo",1,1,0,"polr",FALSE,1,"prop_alegria (z=2.6)"
"L0037","La sorpresa",1,1,0,"polr",FALSE,1,"prop_alegria (z=4)"
"L0263","La bella durmiente",3,3,0,"polr",FALSE,1,"long_oracion_media (z=2.9)"
"L0450","La última niebla",12,12,0,"polr",FALSE,1,"mtld (z=3)"
"L0454","Lo que queda del día",12,12,0,"polr",FALSE,1,"polaridad_media (z=3.2)"
"L0458","Operación masacre",12,12,0,"polr",FALSE,1,"prop_alegria (z=-2.6)"
"L0464","Tres tristes tigres",12,12,0,"polr",FALSE,1,"prop_tristeza (z=3.4)"
"L0597","El perro que no sabía ladrar",7,7,0,"polr",FALSE,1,"entropia_shannon (z=-3.9)"
"L0616","La decisión de Randolph Carter",7,7,0,"polr",FALSE,1,"mtld (z=3.1)"
"L0005","Donde viven los monstruos",1,1,0,"polr",FALSE,0,NA
"L0006","El cuervo y la vasija",1,1,0,"polr",FALSE,0,NA
"L0014","El pastorcito mentiroso",1,1,0,"polr",FALSE,0,NA
"L0018","El tonto Perico,",1,1,0,"polr",FALSE,0,NA
"L0024","Frederick",1,1,0,"polr",FALSE,0,NA
"L0028","Juanito y las semillas mágicas",1,1,0,"polr",FALSE,0,NA
"L0230","Hijo de ladrón",12,12,0,"polr",FALSE,0,NA
"L0247","El diablo y el boxeador",3,3,0,"polr",FALSE,0,NA
"L0260","El zorro y las uvas",3,3,0,"polr",FALSE,0,NA
"L0264","La gallina de los huevos de oro",3,3,0,"polr",FALSE,0,NA
"L0272","Los tres deseos",3,3,0,"polr",FALSE,0,NA
"L0342","La Metamorfosis",12,12,0,"polr",FALSE,0,NA
"L0346","Pantaleón y las visitadoras",12,12,0,"polr",FALSE,0,NA
"L0407","1984",12,12,0,"polr",FALSE,0,NA
"L0408","A partir de Manhattan",12,12,0,"polr",FALSE,0,NA
"L0410","Benito Cereno",12,12,0,"polr",FALSE,0,NA
"L0411","Boquitas pintadas",12,12,0,"polr",FALSE,0,NA
"L0414","Conversación en La Catedral",12,12,0,"polr",FALSE,0,NA
"L0415","Crimen y castigo",12,12,0,"polr",FALSE,0,NA
"L0416","De amor y de sombra",12,12,0,"polr",FALSE,0,NA
"L0418","Desastres íntimos",12,12,0,"polr",FALSE,0,NA
"L0421","El Aleph",12,12,0,"polr",FALSE,0,NA
"L0422","El astillero",12,12,0,"polr",FALSE,0,NA
"L0436","Espantapájaros",12,12,0,"polr",FALSE,0,NA
"L0437","Fahrenheit 451",12,12,0,"polr",FALSE,0,NA
"L0438","Flores oscuras",12,12,0,"polr",FALSE,0,NA
"L0445","La maravillosa vida breve de Óscar Wao",12,12,0,"polr",FALSE,0,NA
"L0447","La palabra del mudo",12,12,0,"polr",FALSE,0,NA
"L0448","La señora Dalloway",12,12,0,"polr",FALSE,0,NA
"L0452","Las genealogías",12,12,0,"polr",FALSE,0,NA
"L0453","Leviatán",12,12,0,"polr",FALSE,0,NA
"L0455","Los detectives salvajes",12,12,0,"polr",FALSE,0,NA
"L0456","Los emigrados",12,12,0,"polr",FALSE,0,NA
"L0457","Madame Bovary",12,12,0,"polr",FALSE,0,NA
"L0466","Una historia del mundo en diez capítulos y medio",12,12,0,"polr",FALSE,0,NA
"L0468","Veinticuatro horas en la vida de una mujer",12,12,0,"polr",FALSE,0,NA
"L0502","Rip Van Winkle",7,7,0,"polr",FALSE,0,NA
"L0535","La casa de muñecas",6,6,0,"polr",FALSE,0,NA
"L0568","¿Estás ahí, Dios? Soy yo, Margaret",7,7,0,"polr",FALSE,0,NA
"L0572","Bibiana y su mundo",7,7,0,"polr",FALSE,0,NA
"L0574","Cinco panes de cebada",7,7,0,"polr",FALSE,0,NA
"L0576","Corazón de tinta",7,7,0,"polr",FALSE,0,NA
"L0582","El caballero de la carreta",7,7,0,"polr",FALSE,0,NA
"L0587","El corsario negro; La hija del corsario negro",7,7,0,"polr",FALSE,0,NA
"L0588","El dador",7,7,0,"polr",FALSE,0,NA
"L0590","El extraño caso del doctor Jekyll y el señor Hyde",7,7,0,"polr",FALSE,0,NA
"L0591","El extraño caso del doctor Jekyll y Mr. Hyde",7,7,0,"polr",FALSE,0,NA
"L0593","El ladrón del rayo",7,7,0,"polr",FALSE,0,NA
"L0595","El libro del cementerio",7,7,0,"polr",FALSE,0,NA
"L0596","El niño con el pijama de rayas",7,7,0,"polr",FALSE,0,NA
"L0598","El Principito",7,7,0,"polr",FALSE,0,NA
"L0599","El último grumete de la Baquedano",7,7,0,"polr",FALSE,0,NA
"L0601","En la corte de mi padre",7,7,0,"polr",FALSE,0,NA
"L0603","Eragon",7,7,0,"polr",FALSE,0,NA
"L0605","Famoso cohete",7,7,0,"polr",FALSE,0,NA
"L0606","Fútbol a sol y sombra",7,7,0,"polr",FALSE,0,NA
"L0608","Ghostgirl",7,7,0,"polr",FALSE,0,NA
"L0609","Gólem, el coloso de barro",7,7,0,"polr",FALSE,0,NA
"L0610","Historia de una gaviota y el gato que le enseñó a volar",7,7,0,"polr",FALSE,0,NA
"L0612","Kalfukura",7,7,0,"polr",FALSE,0,NA
"L0613","La casa del juez",7,7,0,"polr",FALSE,0,NA
"L0614","La colina de Watership",7,7,0,"polr",FALSE,0,NA
"L0617","La gran Gilly Hopkins",7,7,0,"polr",FALSE,0,NA
"L0618","La hija del corsario negro",7,7,0,"polr",FALSE,0,NA
"L0619","La historia de Hércules",7,7,0,"polr",FALSE,0,NA
"L0621","La huella del Dragón. Cuentos populares chinos",7,7,0,"polr",FALSE,0,NA
"L0622","La leyenda de Al-Qit",7,7,0,"polr",FALSE,0,NA
"L0624","La noche del Samurai: cuentos populares japoneses",7,7,0,"polr",FALSE,0,NA
"L0625","La pata de mono",7,7,0,"polr",FALSE,0,NA
"L0632","Mágico sur",7,7,0,"polr",FALSE,0,NA
"L0634","Mi planta de naranja lima",7,7,0,"polr",FALSE,0,NA
"L0643","Puente a Terabithia",7,7,0,"polr",FALSE,0,NA
"L0646","Quique Hache. El mall embrujado y otras historias",7,7,0,"polr",FALSE,0,NA
"L0648","Robin Hood",7,7,0,"polr",FALSE,0,NA
"L0649","Robin Hood",7,7,0,"polr",FALSE,0,NA
"L0651","Stardust",7,7,0,"polr",FALSE,0,NA
"L0652","Trilogía de Fairy Oak",7,7,0,"polr",FALSE,0,NA
"L0653","Un destripador de antaño",7,7,0,"polr",FALSE,0,NA
"L0654","Un viejo que leía novelas de amor",7,7,0,"polr",FALSE,0,NA
"L0657","Yo soy Malala",7,7,0,"polr",FALSE,0,NA
